 rilevazionedati
 
id,data,stazione,temperatura,umidita,pressione,co2
82,23-03-2025,Stazione_B,19.8,61,1014.4,403
83,24-03-2025,Stazione_C,20.4,58,1015.3,397
84,25-03-2025,Stazione_D,17.7,69,1011.8,427
85,26-03-2025,Stazione_E,16.0,72,1010.4,436
86,27-03-2025,Stazione_A,23.5,44,1018.9,377
87,28-03-2025,Stazione_B,22.3,49,1017.1,389
88,29-03-2025,Stazione_C,12.7,83,1007.4,473
89,30-03-2025,Stazione_D,11.5,86,1006.7,483
90,31-03-2025,Stazione_E,21.0,53,1016.2,396
91,01-04-2025,Stazione_A,19.2,62,1013.5,409
92,02-04-2025,Stazione_B,18.5,65,1012.7,417
93,03-04-2025,Stazione_C,17.0,69,1011.6,430
94,04-04-2025,Stazione_D,16.2,71,1010.5,438
95,05-04-2025,Stazione_E,22.0,48,1017.4,386
96,06-04-2025,Stazione_A,24.1,39,1019.3,371
97,07-04-2025,Stazione_B,13.6,79,1008.4,461
98,08-04-2025,Stazione_C,14.8,75,1009.5,449
99,09-04-2025,Stazione_D,20.1,57,1014.9,401
100,10-04-2025,Stazione_E,21.7,52,1016.6,394
